OperatorAddress,Account Address,Moniker,Voting-Power,Self-Delegation,Total-Delegation
quasarvaloper1sxnfqmdrzm9g9dwt09jh0f98jhsaph9g0f4dj4,quasar1sxnfqmdrzm9g9dwt09jh0f98jhsaph9gth9e68,quasar_1,0.423908,5000000000uqsr,5000000000
quasarvaloper1aqam4eye32kweut75d2ccnm4qpzsa2vqjyv43y,quasar1aqam4eye32kweut75d2ccnm4qpzsa2vqk6upek,quasar_2,0.423908,5000000000uqsr,5000000000
quasarvaloper1ydcykukwk4kz0smqg5dt5uhl0a5dwt45mr7xkp,quasar1ydcykukwk4kz0smqg5dt5uhl0a5dwt45lawj7n,"Frens (🤝,🤝)",0.008478,100000000uqsr,100000000
quasarvaloper1x5wgh6vwye60wv3dtshs9dmqggwfx2ldeaxsfc,quasar1x5wgh6vwye60wv3dtshs9dmqggwfx2ldarkyp2,Cosmostation,0.008478,100000000uqsr,100000000
quasarvaloper1su60l57kqz8725mlfc7cml45d9z0j59zz55lqp,quasar1su60l57kqz8725mlfc7cml45d9z0j59zx2ytgn,lightshift,0.008478,100000000uqsr,100000000
quasarvaloper138mqg6euuyhsnmyps4r9gsxs47zm6npk8mc5e4,quasar138mqg6euuyhsnmyps4r9gsxs47zm6npkr9gq38," WhisperNode🤐",0.008478,100000000uqsr,100000000
quasarvaloper1jt9w26mpxxjsk63mvd4m2ynj0af09cslfu50vx,quasar1jt9w26mpxxjsk63mvd4m2ynj0af09csldzymy5,polkachu.com,0.008478,100000000uqsr,100000000
quasarvaloper153ngtc24r3pvxgcztc0rg9jwxl8v9qff6nvl8z,quasar153ngtc24r3pvxgcztc0rg9jwxl8v9qff7dut0s,White Whale,0.008478,100000000uqsr,100000000
quasarvaloper14589xta8jurql2gvv4yfeqk2qwre7d9dh08q96,quasar14589xta8jurql2gvv4yfeqk2qwre7d9dn3h5dg,RHINO,0.008478,100000000uqsr,100000000
quasarvaloper1c2nk4zhku9v9ww4c76va6502xsqjdre5ynxxjk,quasar1c2nk4zhku9v9ww4c76va6502xsqjdre5qdkj6y,Citadel.one,0.008478,100000000uqsr,100000000
quasarvaloper1cs70skzs8re863um07c6tm0p3l7lyazdcaftsd,quasar1cs70skzs8re863um07c6tm0p3l7lyazdurelcl,dankuzone_w_daic,0.008478,100000000uqsr,100000000
quasarvaloper1akxx3cnggvdnz5esuadt52nk2h5m66c5hleryg,quasar1akxx3cnggvdnz5esuadt52nk2h5m66c5npfhv6,Blockapsis,0.008478,100000000uqsr,100000000
quasarvaloper1l58x93k4x4v0908678a4dcadzs4cd294ncfvru,quasar1l58x93k4x4v0908678a4dcadzs4cd294hxectw,Notional,0.008478,100000000uqsr,100000000
quasarvaloper1quwyej8qk0jmw8wj6qvt6j7h8ta5uwvt8w48l0,quasar1quwyej8qk0jmw8wj6qvt6j7h8ta5uwvtrs9nha,Larry Engineer,0.008393,99000000uqsr,99000000
quasarvaloper1y3ehn829sxl8xxcc4elzhgezxwvrxrl9e0zqwc,quasar1y3ehn829sxl8xxcc4elzhgezxwvrxrl9a3j5x2,Stakely.io,0.008393,99000000uqsr,99000000
quasarvaloper1fswsppr2darpd8cvg5p994gzux9pmwgq2tjnrx,quasar1fswsppr2darpd8cvg5p994gzux9pmwgqw4z8t5,Imperator.co,0.008393,99000000uqsr,99000000
quasarvaloper1vkec9wje9g8k93qm47s9umg0ntul58f6w996nw,quasar1vkec9wje9g8k93qm47s9umg0ntul58f62m4wmu,Enigma,0.008393,99000000uqsr,99000000
quasarvaloper14qekdkj2nmmwea4ufg9n002a3pud23y80l2z58,quasar14qekdkj2nmmwea4ufg9n002a3pud23y8tp6ku4," Lavender.Five Nodes 🐝",0.008393,99000000uqsr,99000000
quasarvaloper16px4fsgl448ajzc022cdydlmpndhffr5dtsqmy,quasar16px4fsgl448ajzc022cdydlmpndhffr5f4q5nk,Provalidator,0.008393,99000000uqsr,99000000
quasarvaloper1lpvnz5dyw34wrdjerc37x9ru52u98ed5e6drny,quasar1lpvnz5dyw34wrdjerc37x9ru52u98ed5ayahmk,Swiss Staking,0.008393,99000000uqsr,99000000
quasarvaloper1tfrwyqqe99hpjs6yqx45ls3ds79nq5gd5cm6rv,quasar1tfrwyqqe99hpjs6yqx45ls3ds79nq5gdsxtwt7,Stakecito,0.000085,1000000uqsr,1000000
quasarvaloper1hm34uuxweee8zwpl292h38g0h2j85a0ae2awuy,quasar1hm34uuxweee8zwpl292h38g0h2j85a0aa5d65k,Forbole,0.000085,1000000uqsr,1000000
