DelegatorAddress,DelTotalPower,ValidatorAddress,Share,DelToThisVal
quasar1c2nk4zhku9v9ww4c76va6502xsqjdre5qdkj6y,100000000,quasarvaloper1c2nk4zhku9v9ww4c76va6502xsqjdre5ynxxjk,100000000.000000000000000000,100000000
quasar1sxnfqmdrzm9g9dwt09jh0f98jhsaph9gth9e68,5000000000,quasarvaloper1sxnfqmdrzm9g9dwt09jh0f98jhsaph9g0f4dj4,5000000000.000000000000000000,5000000000
quasar14589xta8jurql2gvv4yfeqk2qwre7d9dn3h5dg,100000000,quasarvaloper14589xta8jurql2gvv4yfeqk2qwre7d9dh08q96,100000000.000000000000000000,100000000
quasar1tfrwyqqe99hpjs6yqx45ls3ds79nq5gdsxtwt7,1000000,quasarvaloper1tfrwyqqe99hpjs6yqx45ls3ds79nq5gd5cm6rv,1000000.000000000000000000,1000000
quasar1aqam4eye32kweut75d2ccnm4qpzsa2vqk6upek,5000000000,quasarvaloper1aqam4eye32kweut75d2ccnm4qpzsa2vqjyv43y,5000000000.000000000000000000,5000000000
quasar1hm34uuxweee8zwpl292h38g0h2j85a0aa5d65k,1000000,quasarvaloper1hm34uuxweee8zwpl292h38g0h2j85a0ae2awuy,1000000.000000000000000000,1000000
quasar1akxx3cnggvdnz5esuadt52nk2h5m66c5npfhv6,100000000,quasarvaloper1akxx3cnggvdnz5esuadt52nk2h5m66c5hleryg,100000000.000000000000000000,100000000
quasar1fswsppr2darpd8cvg5p994gzux9pmwgqw4z8t5,99000000,quasarvaloper1fswsppr2darpd8cvg5p994gzux9pmwgq2tjnrx,100000000.000000000000000000,99000000
quasar1su60l57kqz8725mlfc7cml45d9z0j59zx2ytgn,100000000,quasarvaloper1su60l57kqz8725mlfc7cml45d9z0j59zz55lqp,100000000.000000000000000000,100000000
quasar1y3ehn829sxl8xxcc4elzhgezxwvrxrl9a3j5x2,99000000,quasarvaloper1y3ehn829sxl8xxcc4elzhgezxwvrxrl9e0zqwc,100000000.000000000000000000,99000000
quasar1jt9w26mpxxjsk63mvd4m2ynj0af09csldzymy5,100000000,quasarvaloper1jt9w26mpxxjsk63mvd4m2ynj0af09cslfu50vx,100000000.000000000000000000,100000000
quasar1quwyej8qk0jmw8wj6qvt6j7h8ta5uwvtrs9nha,99000000,quasarvaloper1quwyej8qk0jmw8wj6qvt6j7h8ta5uwvt8w48l0,101010101.010101010101010101,99000000
quasar153ngtc24r3pvxgcztc0rg9jwxl8v9qff7dut0s,100000000,quasarvaloper153ngtc24r3pvxgcztc0rg9jwxl8v9qff6nvl8z,100000000.000000000000000000,100000000
quasar1cs70skzs8re863um07c6tm0p3l7lyazdurelcl,100000000,quasarvaloper1cs70skzs8re863um07c6tm0p3l7lyazdcaftsd,100000000.000000000000000000,100000000
quasar1l58x93k4x4v0908678a4dcadzs4cd294hxectw,100000000,quasarvaloper1l58x93k4x4v0908678a4dcadzs4cd294ncfvru,100000000.000000000000000000,100000000
quasar14qekdkj2nmmwea4ufg9n002a3pud23y8tp6ku4,99000000,quasarvaloper14qekdkj2nmmwea4ufg9n002a3pud23y80l2z58,100000000.000000000000000000,99000000
quasar138mqg6euuyhsnmyps4r9gsxs47zm6npkr9gq38,100000000,quasarvaloper138mqg6euuyhsnmyps4r9gsxs47zm6npk8mc5e4,100000000.000000000000000000,100000000
quasar1lpvnz5dyw34wrdjerc37x9ru52u98ed5ayahmk,99000000,quasarvaloper1lpvnz5dyw34wrdjerc37x9ru52u98ed5e6drny,100000000.000000000000000000,99000000
quasar1ydcykukwk4kz0smqg5dt5uhl0a5dwt45lawj7n,100000000,quasarvaloper1ydcykukwk4kz0smqg5dt5uhl0a5dwt45mr7xkp,100000000.000000000000000000,100000000
quasar1x5wgh6vwye60wv3dtshs9dmqggwfx2ldarkyp2,100000000,quasarvaloper1x5wgh6vwye60wv3dtshs9dmqggwfx2ldeaxsfc,100000000.000000000000000000,100000000
quasar1vkec9wje9g8k93qm47s9umg0ntul58f62m4wmu,99000000,quasarvaloper1vkec9wje9g8k93qm47s9umg0ntul58f6w996nw,100000000.000000000000000000,99000000
quasar16px4fsgl448ajzc022cdydlmpndhffr5f4q5nk,99000000,quasarvaloper16px4fsgl448ajzc022cdydlmpndhffr5dtsqmy,100000000.000000000000000000,99000000
